"","act","position","t_iqr","t_mad","t_max","t_mcr","t_mean","t_min","t_rms","t_sttdev","t_variance"
"8251","Walking","Hand Swing",2.5491961036874,1.44750166879082,15.8764291731851,0.078125,11.5016408248657,8.32113564533483,11.63487531912,1.75572834665587,3.08258202725097
"8252","Walking","Hand Swing",2.93430280287541,1.41352884763864,14.8357172593443,0.09375,11.3385382076787,8.48332171954891,11.4641080341167,1.69213602612497,2.86332433091
"8253","Walking","Hand Swing",3.34689308783325,1.58976998645193,14.6790909770805,0.0625,11.3327616613704,8.43541174240224,11.485394225328,1.86622443392308,3.48279363777153
"8254","Walking","Hand Swing",2.60421754928037,1.54644600963297,16.2601125724076,0.06640625,11.457812587243,7.91896272189461,11.6115733618121,1.8833923256613,3.54716665235987
"8255","Walking","Hand Swing",2.77742278203845,1.53586125071014,15.3368952624136,0.0703125,11.0093064902794,7.39988876766523,11.1641466645327,1.85292777794765,3.43334135029003
"8256","Walking","Hand Swing",2.8842074200529,1.61829375500314,15.0995432878536,0.0625,11.0000246983304,8.00735285210711,11.1677920836852,1.92848040190807,3.7190366605435
"8257","Walking","Hand Swing",2.73855725836352,1.63690710429936,15.8391214804472,0.0625,10.9243766749274,7.23694239197385,11.1027157051103,1.98199149665282,3.92829029280407
"8258","Walking","Hand Swing",2.63740461261972,1.55840443117377,15.4975310553026,0.0546875,11.1218146097599,8.39414680666453,11.2818204739568,1.89333383023738,3.58471299272136
"8259","Walking","Hand Swing",2.50620559025296,1.6090653932452,15.7296709288328,0.0625,11.0395157038076,7.43679507768478,11.2107618446747,1.95199235741319,3.81027416339949
"8260","Walking","Hand Swing",2.95617259323534,1.7469354913966,16.5025677603347,0.0703125,11.2174809179563,7.28223679994864,11.4139450204388,2.10861631997997,4.44626278488586
"8261","Walking","Hand Swing",2.88969885979062,1.63898907872788,16.0634910853333,0.0703125,11.2360729360875,8.0812657358184,11.4086415354988,1.97680718848121,3.90776666043097
"8262","Walking","Hand Swing",2.85503620932253,1.72652815073261,16.0557282622411,0.0625,11.2274323359619,7.96230842158261,11.4151365422361,2.06157838058385,4.25010541929071
"8263","Walking","Hand Swing",2.95420879462035,1.739587298073,16.4818340788528,0.0625,11.1338975754844,7.1250437243148,11.3344060236073,2.12251847733021,4.50508468660817
"8264","Walking","Hand Swing",2.72881200177735,1.53321170042717,16.0327995812439,0.0546875,11.4441890032492,8.49897115015982,11.5879855011585,1.8198752795095,3.31194603296977
"8265","Walking","Hand Swing",2.7785476073967,1.61677062479462,16.3905030712538,0.078125,11.1505745585233,7.2905417587447,11.3257395854497,1.98420366198489,3.93706417223423
"8266","Walking","Hand Swing",2.43989993483388,1.64767650132761,15.4919754727818,0.0625,10.661086269045,7.723609016826,10.8485939239609,2.0082902407227,4.03322969098206
"8267","Walking","Hand Swing",2.35144922431301,1.38159194016163,15.2828304805446,0.0546875,11.1206009750191,8.32955106017092,11.246787236583,1.68001699377442,2.82245709937084
"8268","Walking","Hand Swing",2.5310287782772,1.53596966004151,15.5040610515024,0.0625,11.0810566044492,8.13052986564668,11.2316909695044,1.83332118392767,3.36106656343794
"8269","Walking","Hand Swing",2.56547812979722,1.51589255952114,15.5688969011524,0.0625,11.0913037048888,7.93459854523148,11.239018275912,1.81618113970052,3.29851393220389
"8270","Walking","Hand Swing",2.67777837592095,1.50416271495707,15.8700560578781,0.07421875,11.0882269723649,7.58286558310605,11.2393897581606,1.83714581488925,3.37510474516509
"8271","Walking","Hand Swing",2.58430039080251,1.54014853084709,16.150415815671,0.0625,11.2046448088524,7.70199350619411,11.3596692447446,1.87029945662531,3.49802005745294
"8272","Walking","Hand Swing",2.61564327470388,1.53669904516948,15.7676000386831,0.078125,11.3268122129644,7.98787305577704,11.4779705401028,1.85664558053194,3.44713281170878
"8273","Walking","Hand Swing",2.33813890355527,1.33169013381926,14.3620748293788,0.0859375,10.405195918339,6.96854575573786,10.5335651332312,1.63947928227399,2.68789231700563
"8274","Walking","Hand Swing",2.23841817462003,1.32167505288245,15.4745358479949,0.0703125,11.4015432547861,8.2253312825694,11.5154925487904,1.61597650059918,2.61138005048877
"8275","Running","Hand Swing",9.54208532224186,4.7170033197342,22.9343719267498,0.09375,12.324908254178,5.38884385367436,13.4179235051334,5.30446111454366,28.1373077157058
"8276","Running","Hand Swing",11.2345130681777,5.47082460523571,24.3636119505731,0.08984375,12.0890158431373,4.02757729837176,13.5695865450037,6.16355213709756,37.9893749467199
"8277","Running","Hand Swing",9.02488724749021,4.83650192253702,24.0289645904255,0.09375,12.3884232436502,3.20322369164167,13.6276308599523,5.67796551515686,32.2392923913105
"8278","Running","Hand Swing",7.78100618690495,3.91584104487019,18.8945880717083,0.08984375,10.4741879974961,2.21958224747962,11.4052177972957,4.51335560274843,20.3703787968606
"8279","Running","Hand Swing",7.94882130145155,4.22770635544153,22.5442334664039,0.09375,11.7245466480351,3.69771841827581,12.7204687475361,4.93409880880935,24.3453310550939
"8280","Running","Hand Swing",9.95587206503412,4.83648354469041,22.1098821368912,0.09375,12.0287469116302,4.00472417154926,13.2071362015519,5.4532278865174,29.737694382291
"8281","Running","Hand Swing",8.55543816123927,4.43971125484021,24.1205487555962,0.08984375,13.2033647730717,2.87228920460076,14.1948789769521,5.21207711373544,27.1657478395248
"8282","Running","Hand Swing",10.2920028765786,4.82775396374271,22.5194896938511,0.09375,12.555780479137,5.4104627756539,13.6750515656912,5.41843260399502,29.3594118840362
"8283","Running","Hand Swing",9.62639325489106,4.71116002792458,23.3564570258362,0.08984375,13.1084740329747,4.64768760697954,14.1622588226728,5.36073534948328,28.7374834871997
"8284","Running","Hand Swing",9.34471621383977,4.77587131208743,22.7841500569119,0.09375,13.1713182669425,5.78778809508452,14.2284993908482,5.38206001697066,28.9665700262742
"8285","Running","Hand Swing",10.1922895808676,4.63648998908469,21.4253748913674,0.09375,12.7525033070616,5.14214843607674,13.7652921348578,5.1823669265463,26.856926961361
"8286","Running","Hand Swing",9.19522399980852,4.68368336036939,23.4782975107837,0.09375,12.638524565706,3.80175957399322,13.7434351640786,5.39904685210994,29.1497069112782
"8287","Running","Hand Swing",8.69025918594196,4.56979557911763,22.8947810941846,0.09375,12.3651473642581,2.14308069892021,13.4921627491485,5.39829475943008,29.1415863096903
"8288","Running","Hand Swing",8.11964254042413,4.24055666097992,22.0675847667579,0.09375,12.0126391008723,3.11152686197885,13.0241503816045,5.03239455874087,25.3249949948447
"8289","Running","Hand Swing",9.97110731424249,4.90729441103551,24.9033739911767,0.09375,13.1747221354033,5.60545811131055,14.2982389349468,5.5557477710694,30.8663332957426
"8290","Running","Hand Swing",9.11933589748253,4.67742301745754,22.4879468712289,0.09375,11.8819699905734,2.77360018712295,13.0644586938687,5.43128622951463,29.4988701069153
"8291","Running","Hand Swing",8.71776589009918,4.48453638402597,23.2385501477769,0.09375,12.4310021497575,4.60178652801589,13.4850707612996,5.22659726686332,27.3173189899831
"8292","Running","Hand Swing",9.34074967253643,4.73189409093861,22.2878514605985,0.0859375,11.9665810883761,3.15919996450283,13.170694523071,5.50164805084549,30.268131275372
"8293","Running","Hand Swing",9.38319563789507,4.77785983784293,23.2319562409626,0.09375,12.4313713014992,2.99827400512985,13.6292626868201,5.587289946889,31.2178089506068
"8294","Running","Hand Swing",9.63472124324759,4.85844722457954,24.0992504977515,0.09375,12.7349406012942,2.22748368599373,13.9390664526182,5.66735047901702,32.1188614520145
"8295","Running","Hand Swing",8.14402812151572,4.42440430342521,23.9127430039027,0.09375,12.7596481342054,4.70899238602481,13.8060682805624,5.2724662975517,27.7989008588186
"8296","Running","Hand Swing",9.59260218860593,4.77870923712624,23.5485403904178,0.0859375,13.1613896919061,5.53866782850367,14.241739993762,5.44104580275761,29.6049794277062
"8297","Running","Hand Swing",10.222781952294,5.05587419732431,24.7003653937243,0.09375,13.6952649208642,6.18715872981723,14.8543305067503,5.75246499781775,33.0908535511184
"8298","Running","Hand Swing",9.90630208979275,5.01304792632293,24.1288263094262,0.09375,13.5316930748609,4.75322071521803,14.6804592572062,5.69290492896664,32.4091665302526
"8299","Running","Hand Swing",10.4186062542747,5.10196415237859,23.1897760788479,0.09375,12.6526154807181,2.09214055140847,13.955595130102,5.88811998284856,34.6699569324205
"8300","Running","Hand Swing",9.15141484786569,4.5934079081277,22.1130905362943,0.09375,12.7286587035065,3.30639943464948,13.816199246314,5.37295163048178,28.8686092234968
"8301","Running","Hand Swing",8.76263237009237,4.52435623720492,22.9807275475227,0.0859375,12.7712916128455,2.38186600888223,13.8324512675021,5.31326816634365,28.2308186074809
"8302","Running","Hand Swing",9.72731662430919,4.57146632845286,22.0414682579195,0.0859375,12.9429952178228,4.08694970982514,13.9263081635616,5.14012975107612,26.4209338578979
"8303","Running","Hand Swing",10.6337346790173,5.10807341826131,22.2885265782065,0.0859375,11.8517993347375,3.21009669693863,13.1690586285448,5.74098926067332,32.9589576911664
"8304","Running","Hand Swing",10.4442822166112,4.86185805016679,21.9934755653352,0.0859375,12.4014538348378,3.10671853677109,13.547808999187,5.45408759196613,29.7470714608389
